filt,dist,age,feh,runs,age_bin,feh_meas,massdiff
WFIRST_X625,4,9.30,-2.20,5,9.35,-2.25,0.1549
WFIRST_X625,4,9.30,-2.20,5,9.40,-2.174,0.0425
WFIRST_X625,4,9.30,-2.20,5,9.45,-2.246,0.0
WFIRST_X625,4,9.30,-2.20,5,9.50,-2.213,0.029099999999999997
WFIRST_X625,4,9.30,-2.20,5,9.55,-2.25,0.00979999999999992
WFIRST_X625,4,9.30,-2.20,6,8.40,0.0,0.0
WFIRST_X625,4,9.30,-2.20,6,8.45,0.0,0.0
WFIRST_X625,4,9.30,-2.20,6,8.50,0.0,0.0
WFIRST_X625,4,9.30,-2.20,6,8.55,0.0,0.0
WFIRST_X625,4,9.30,-2.20,6,8.60,-0.85,9.999999999998899e-05
WFIRST_X625,4,9.30,-2.20,6,8.65,0.0,0.0
WFIRST_X625,4,9.30,-2.20,6,8.70,0.0,0.0
WFIRST_X625,4,9.30,-2.20,6,8.75,0.0,0.0
WFIRST_X625,4,9.30,-2.20,6,8.80,0.0,0.0
WFIRST_X625,4,9.30,-2.20,6,8.85,0.0,0.0
WFIRST_X625,4,9.30,-2.20,6,8.90,0.0,0.0
WFIRST_X625,4,9.30,-2.20,6,8.95,0.0,0.0
WFIRST_X625,4,9.30,-2.20,6,9.00,0.0,0.0
WFIRST_X625,4,9.30,-2.20,6,9.05,0.15,0.0
WFIRST_X625,4,9.30,-2.20,6,9.10,0.0,0.0
WFIRST_X625,4,9.30,-2.20,6,9.15,0.0,0.0
WFIRST_X625,4,9.30,-2.20,6,9.20,0.0,0.0
WFIRST_X625,4,9.30,-2.20,6,9.25,0.0,0.0
WFIRST_X625,4,9.30,-2.20,6,9.30,-2.1959999999999997,0.7701
WFIRST_X625,4,9.30,-2.20,6,9.35,-2.25,0.10740000000000001
WFIRST_X625,4,9.30,-2.20,6,9.40,-2.25,0.08099999999999999
WFIRST_X625,4,9.30,-2.20,6,9.45,-2.2319999999999998,0.0
WFIRST_X625,4,9.30,-2.20,6,9.50,-2.1919999999999997,0.030899999999999997
WFIRST_X625,4,9.30,-2.20,6,9.55,-2.25,0.010499999999999954
WFIRST_X625,4,9.30,-2.20,7,8.40,0.0,0.0
WFIRST_X625,4,9.30,-2.20,7,8.45,0.0,0.0
WFIRST_X625,4,9.30,-2.20,7,8.50,0.0,0.0
WFIRST_X625,4,9.30,-2.20,7,8.55,0.0,0.0
WFIRST_X625,4,9.30,-2.20,7,8.60,0.0,0.0
WFIRST_X625,4,9.30,-2.20,7,8.65,0.0,0.0
WFIRST_X625,4,9.30,-2.20,7,8.70,0.0,0.0
WFIRST_X625,4,9.30,-2.20,7,8.75,0.0,0.0
WFIRST_X625,4,9.30,-2.20,7,8.80,0.0,0.0
WFIRST_X625,4,9.30,-2.20,7,8.85,0.0,0.0
WFIRST_X625,4,9.30,-2.20,7,8.90,-0.45,0.00029999999999996696
WFIRST_X625,4,9.30,-2.20,7,8.95,0.0,0.0
WFIRST_X625,4,9.30,-2.20,7,9.00,0.0,0.0
WFIRST_X625,4,9.30,-2.20,7,9.05,0.0,0.0
WFIRST_X625,4,9.30,-2.20,7,9.10,0.0,0.0
WFIRST_X625,4,9.30,-2.20,7,9.15,0.0,0.0
WFIRST_X625,4,9.30,-2.20,7,9.20,0.0,0.0
WFIRST_X625,4,9.30,-2.20,7,9.25,0.0,0.0
WFIRST_X625,4,9.30,-2.20,7,9.30,-2.197,0.7827000000000001
WFIRST_X625,4,9.30,-2.20,7,9.35,-2.25,0.1394
WFIRST_X625,4,9.30,-2.20,7,9.40,-2.1919999999999997,0.0391
WFIRST_X625,4,9.30,-2.20,7,9.45,0.0,0.0
WFIRST_X625,4,9.30,-2.20,7,9.50,-2.15,0.0127
WFIRST_X625,4,9.30,-2.20,7,9.55,-2.25,0.025800000000000045
WFIRST_X625,4,9.30,-2.20,8,8.40,0.0,0.0
WFIRST_X625,4,9.30,-2.20,8,8.45,0.0,0.0
