filt,dist,age,feh,feh_meas_mean,feh_meas_std,feh_meas_median,massdiff_mean,massdiff_std,massdiff_median,feh_weighted,age_weighted,feh_diff_mean
WFIRST_X606,6.0,10.1,-0.8,-0.8,0.005709640969448082,-0.8009999999999999,0.9723500000000002,0.031184555472220543,0.9843999999999999,-0.7864805480000001,10.095551500000001,0.0
WFIRST_X606,6.0,10.1,-0.5,-0.5002000000000001,0.002088061301782095,-0.5,0.96844,0.018867866864062832,0.9762500000000001,-0.49243248400000006,10.096121499999999,-0.000200000000000089
WFIRST_X606,6.0,10.1,-0.2,-0.19839999999999997,0.004152107898405338,-0.19799999999999998,0.9578599999999999,0.030864419644632882,0.9601,-0.19357951799999995,10.093622499999999,0.0016000000000000458
WFIRST_X606,6.0,10.1,0.0,0.0019000000000000002,0.006187891401761993,0.002,0.90319,0.08111682254625116,0.94165,0.002771241,10.0870585,0.0019000000000000002
WFIRST_X606,6.0,10.1,0.1,0.0935,0.01075406899736095,0.099,0.8743299999999999,0.15155244009912872,0.94625,0.089141497,10.090794999999998,-0.006500000000000006
WFIRST_X606,8.0,9.3,-2.2,-2.2,0.0039496835316263825,-2.2005,0.9252800000000001,0.04911836316491011,0.9435,-2.1377368670000005,9.300227000000001,0.0
WFIRST_X606,8.0,9.3,-1.8,-1.8005,0.0039560080889705215,-1.7990000000000002,0.89836,0.02423613830625666,0.88905,-1.7559345259999999,9.3050515,-0.0004999999999999449
WFIRST_X606,8.0,9.3,-1.3,-1.3008000000000002,0.0036823905279044188,-1.2999999999999998,0.83599,0.08695341798917396,0.85975,-1.2541637550000002,9.3080775,-0.0008000000000001339
WFIRST_X606,8.0,9.3,-0.8,-0.8077,0.007836453279386056,-0.808,0.59965,0.1326583148543656,0.6381,-0.720872087,9.335541000000001,-0.007699999999999929
WFIRST_X606,8.0,9.3,-0.5,-0.4955,0.010920164833920769,-0.4920000000000001,0.57135,0.15025941734214196,0.6259999999999999,-0.470966975,9.3437895,0.004500000000000004
WFIRST_X606,8.0,9.3,-0.2,-0.2023,0.01959617309578582,-0.203,0.5302399999999999,0.22223915586592743,0.46265,-0.19624600299999995,9.3465115,-0.0022999999999999965
WFIRST_X606,8.0,9.3,0.0,0.0062000000000000015,0.02972473717293393,0.0025,0.50527,0.24468836935988597,0.4194,-0.014162379,9.339093,0.0062000000000000015
WFIRST_X606,8.0,9.3,0.1,0.0949,0.006992138442565337,0.095,0.7114400000000001,0.16629109537194106,0.8038000000000001,0.07577926800000001,9.331394,-0.005100000000000007
WFIRST_X606,8.0,9.5,-2.2,-2.1988999999999996,0.007712976079309499,-2.2025,0.80067,0.10447357608505609,0.7596499999999999,-2.1294845099999997,9.501325,0.001100000000000545
WFIRST_X606,8.0,9.5,-1.8,-1.798,0.006708203932499418,-1.7995,0.86584,0.10082547495548928,0.90445,-1.7076813090000003,9.5110655,0.0020000000000000018
WFIRST_X606,8.0,9.5,-1.3,-1.3028000000000002,0.00589576118919349,-1.304,0.76974,0.09174965068053392,0.7823,-1.228560237,9.518905,-0.0028000000000001357
WFIRST_X606,8.0,9.5,-0.8,-0.8008000000000001,0.013414917070187191,-0.8,0.6645,0.14782804875936092,0.7082999999999999,-0.7571100609999999,9.528507,-0.0008000000000000229
WFIRST_X606,8.0,9.5,-0.5,-0.47590000000000005,0.017700000000000004,-0.478,0.51611,0.21988419884111726,0.4852000000000001,-0.442210436,9.543567,0.024099999999999955
