filt,dist,age,feh,age_bin,feh_meas_mean,feh_meas_std,feh_meas_median,massdiff_mean,massdiff_std,massdiff_median
WFIRST_X625,4,10.00,-0.80,9.95,-0.803,0.022085062825357778,-0.8105,0.09138749999999998,0.03381114599876794,0.08104999999999996
WFIRST_X625,4,10.00,-1.30,10.00,-1.32025,0.0021065374432941014,-1.3205,0.85545,0.0164564576990311,0.8572500000000001
WFIRST_X625,4,10.00,-1.30,10.05,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-1.30,10.10,-0.15625,0.41339864235384227,0.0,0.0006624999999999964,0.0017528102435802819,0.0
WFIRST_X625,4,10.00,-1.30,9.10,-0.16949999999999998,0.3004775365979959,0.0,0.00014999999999999736,0.0003605551275463958,0.0
WFIRST_X625,4,10.00,-1.30,9.15,-0.34375,0.5002733627727944,0.0,3.749999999999587e-05,6.95970545353676e-05,0.0
WFIRST_X625,4,10.00,-1.30,9.20,-0.43125,0.6020472884250871,0.0,3.749999999999587e-05,9.921567416491121e-05,0.0
WFIRST_X625,4,10.00,-1.30,9.25,-0.29375,0.3803267509655349,0.0,0.000125000000000014,0.00023848480035425378,0.0
WFIRST_X625,4,10.00,-1.30,9.30,-0.10625,0.28111107680061276,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-1.30,9.35,-0.35624999999999996,0.46262667184242634,0.0,0.0002999999999999947,0.0005220153254455179,0.0
WFIRST_X625,4,10.00,-1.30,9.40,-0.10625,0.28111107680061276,0.0,6.2500000000007e-05,0.0001653594569415554,0.0
WFIRST_X625,4,10.00,-1.30,9.45,-0.25,0.45069390943299864,0.0,0.00026249999999998497,0.00048717938174760566,0.0
WFIRST_X625,4,10.00,-1.30,9.50,-0.23125,0.6118299906836866,0.0,1.2499999999998623e-05,3.3071891388303735e-05,0.0
WFIRST_X625,4,10.00,-1.30,9.55,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-1.30,9.60,-0.0375,0.06495190528383289,0.0,3.750000000000975e-05,6.959705453540002e-05,0.0
WFIRST_X625,4,10.00,-1.30,9.65,-0.425,0.7365459931328118,0.0,0.00021250000000000435,0.0004075460096725262,0.0
WFIRST_X625,4,10.00,-1.30,9.70,-0.41874999999999996,0.5413741197175942,0.0,0.0004249999999999948,0.0009496709956611329,0.0
WFIRST_X625,4,10.00,-1.30,9.75,-0.38375000000000004,0.6830801106019704,0.0,0.00020000000000000573,0.0005291502622129333,0.0
WFIRST_X625,4,10.00,-1.30,9.80,-0.3,0.5202163011671203,0.0,0.0012749999999999984,0.0022134531845060517,0.0
WFIRST_X625,4,10.00,-1.30,9.85,-0.2875,0.4979646071760522,0.0,0.0003125000000000072,0.0008267972847077036,0.0
WFIRST_X625,4,10.00,-1.30,9.90,-0.325,0.5634713834792323,0.0,0.00033750000000000446,0.0008929410674843111,0.0
WFIRST_X625,4,10.00,-1.30,9.95,-1.350625,0.013963680567815873,-1.353,0.1401,0.0180897761180176,0.13905
WFIRST_X625,4,10.00,-1.80,10.00,-1.8175,0.0014142135623730866,-1.818,0.75295,0.012970061680655178,0.7567
WFIRST_X625,4,10.00,-1.80,10.05,-0.42500000000000004,0.7399324293474372,0.0,0.0003125,0.0008267972847076846,0.0
WFIRST_X625,4,10.00,-1.80,10.10,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-1.80,9.10,-0.18125,0.4795424251304571,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-1.80,9.15,-0.25625,0.6779737734603012,0.0,1.2499999999998623e-05,3.3071891388303735e-05,0.0
WFIRST_X625,4,10.00,-1.80,9.20,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-1.80,9.25,-0.13125,0.3472548595772275,0.0,1.2499999999998623e-05,3.3071891388303735e-05,0.0
WFIRST_X625,4,10.00,-1.80,9.30,-0.536375,0.7167719193544067,0.0,0.00012499999999998623,0.00019202864369669405,0.0
