filt,dist,age,feh,age_bin,feh_meas_mean,feh_meas_std,feh_meas_median,massdiff_mean,massdiff_std,massdiff_median
WFIRST_X625,4,10.00,-0.50,9.20,0.00625,0.016535945694153693,0.0,6.249999999999312e-05,0.0001653594569415187,0.0
WFIRST_X625,4,10.00,-0.50,9.25,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.50,9.30,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.50,9.35,-0.00625,0.016535945694153693,0.0,3.749999999999587e-05,9.921567416491121e-05,0.0
WFIRST_X625,4,10.00,-0.50,9.40,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.50,9.45,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.50,9.50,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.50,9.55,-0.01875,0.049607837082461075,0.0,0.00016249999999999598,0.00042993458804798534,0.0
WFIRST_X625,4,10.00,-0.50,9.60,-0.04375,0.11575161985907582,0.0,1.2499999999998623e-05,3.3071891388303735e-05,0.0
WFIRST_X625,4,10.00,-0.50,9.65,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.50,9.70,-0.03125,0.08267972847076846,0.0,0.00043749999999999345,0.001157516198590741,0.0
WFIRST_X625,4,10.00,-0.50,9.75,-0.03125,0.08267972847076846,0.0,0.0002500000000000002,0.0006614378277661482,0.0
WFIRST_X625,4,10.00,-0.50,9.80,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.50,9.85,-0.037500000000000006,0.16345871038277524,0.0,0.0004125000000000101,0.000784916396822004,0.0
WFIRST_X625,4,10.00,-0.50,9.90,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.50,9.95,-0.33125,0.14128318194321646,-0.35,0.009187500000000015,0.007645331500334057,0.007599999999999996
WFIRST_X625,4,10.00,-0.80,10.00,-0.780625,0.0025950674365033135,-0.78,0.9317,0.02972873189357393,0.92615
WFIRST_X625,4,10.00,-0.80,10.05,-0.809875,0.03463537750624353,-0.8085,0.050449999999999995,0.0256919734547582,0.0509
WFIRST_X625,4,10.00,-0.80,10.10,-0.11875,0.3141829681889201,0.0,0.001674999999999996,0.004431633446033178,0.0
WFIRST_X625,4,10.00,-0.80,9.10,-0.00425,0.01124444307202451,0.0,4.999999999999449e-05,0.00013228756555321494,0.0
WFIRST_X625,4,10.00,-0.80,9.15,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.80,9.20,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.80,9.25,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.80,9.30,-0.14375,0.3803267509655348,0.0,1.2499999999998623e-05,3.3071891388303735e-05,0.0
WFIRST_X625,4,10.00,-0.80,9.35,-0.05625,0.14882351124738322,0.0,0.00013749999999999873,0.0003637908052713778,0.0
WFIRST_X625,4,10.00,-0.80,9.40,-0.10175000000000001,0.1956947559338267,0.0,0.0004749999999999893,0.0009705024471890851,0.0
WFIRST_X625,4,10.00,-0.80,9.45,-0.275,0.55,0.0,1.2500000000012501e-05,3.3071891388340455e-05,0.0
