filt,dist,age,feh,age_bin,feh_meas_mean,feh_meas_std,feh_meas_median,massdiff_mean,massdiff_std,massdiff_median,feh_weighted,age_weighted
WFIRST_X625,4.0,10.00,-0.80,10.10,-0.11875,0.3141829681889201,0.0,0.001674999999999996,0.004431633446033178,0.0,-0.0001989062499999995,0.016917499999999957
WFIRST_X625,4.0,10.00,-0.80,9.90,-0.377125,0.3771609197345345,-0.375,0.007925000000000001,0.010841211878752307,0.0017999999999999683,-0.0029887156250000004,0.07845750000000001
WFIRST_X625,4.0,10.00,-0.80,9.95,-0.564375,0.4598999721406819,-0.6825,0.0074375,0.012274764508942753,0.0012999999999999678,-0.004197539062499999,0.07400312499999999
WFIRST_X625,4.0,10.00,-1.30,10.00,-1.286,0.0018027756377319963,-1.286,0.8338,0.015398457714979122,0.8316,-1.0722668,8.338
WFIRST_X625,4.0,10.00,-1.30,10.05,-1.2445,0.00721110255092796,-1.2485,0.16123749999999998,0.0171475900274645,0.16055,-0.20066006874999998,1.620436875
WFIRST_X625,4.0,10.00,-1.30,10.10,-0.16175,0.4115719104846685,0.0,0.00021250000000000435,0.000562222153601237,0.0,-3.4371875000000705e-05,0.002146250000000044
WFIRST_X625,4.0,10.00,-1.30,9.90,-0.169,0.39376642822871527,0.0,0.00043749999999999345,0.0010839020942871084,0.0,-7.39374999999989e-05,0.004331249999999935
WFIRST_X625,4.0,10.00,-1.30,9.95,-0.438,0.5532729886773798,-0.024,0.0022625000000000145,0.00513929409063153,0.0,-0.0009909750000000063,0.022511875000000143
WFIRST_X625,4.0,10.00,-1.80,10.00,-1.7795,0.003570714214271432,-1.7790000000000001,0.757325,0.02939650276818657,0.75525,-1.3476598375000002,7.57325
WFIRST_X625,4.0,10.00,-1.80,10.05,-1.7222499999999998,0.004656984002549316,-1.7235,0.23951250000000002,0.029452565147198982,0.23885,-0.41250040312499997,2.4071006250000004
WFIRST_X625,4.0,10.00,-1.80,10.10,-0.18125,0.4795424251304571,0.0,8.750000000000424e-05,0.0002315032397181629,0.0,-1.5859375000000767e-05,0.0008837500000000428
WFIRST_X625,4.0,10.00,-1.80,9.90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4.0,10.00,-1.80,9.95,-0.961,0.9640670360509169,-0.875,0.0010875000000000051,0.0018850978091335304,0.0,-0.0010450875000000048,0.01082062500000005
WFIRST_X625,4.0,10.00,-2.20,10.00,-2.1635,0.004795831523312614,-2.1630000000000003,0.785625,0.021134435762518042,0.79325,-1.6996996875000001,7.85625
WFIRST_X625,4.0,10.00,-2.20,10.05,-2.105375,0.03153544632631677,-2.1014999999999997,0.08213749999999999,0.038083852795509014,0.0707,-0.17293023906249996,0.8254818749999999
WFIRST_X625,4.0,10.00,-2.20,10.10,-2.15,0.0,-2.15,0.1212875,0.03210683095152806,0.12940000000000002,-0.260768125,1.22500375
WFIRST_X625,4.0,10.00,-2.20,9.90,-0.975,0.975,-0.975,0.002799999999999997,0.0038974350539810044,0.0005000000000000004,-0.0027299999999999968,0.02771999999999997
WFIRST_X625,4.0,10.00,-2.20,9.95,-1.2937499999999997,1.00263325174263,-2.05,0.0065375000000000155,0.009859124897778708,0.0013000000000000234,-0.008457890625000018,0.06504812500000015
WFIRST_X625,4.0,10.00,0.00,10.00,0.00475,0.004115519408288582,0.0035,0.8277125000000001,0.03384754191592057,0.8422000000000001,0.0039316343750000005,8.277125000000002
WFIRST_X625,4.0,10.00,0.00,10.05,0.018875000000000003,0.03386531226786489,0.026000000000000002,0.08852499999999999,0.020785316331487474,0.08785000000000001,0.0016709093750000002,0.88967625
WFIRST_X625,4.0,10.00,0.00,10.10,-0.05,0.11726039399558574,0.0,0.0016000000000000042,0.0025700194551792647,0.00014999999999998348,-8.000000000000021e-05,0.016160000000000042
WFIRST_X625,4.0,10.00,0.00,9.90,0.056249999999999994,0.07261843774138907,0.0,0.008787500000000004,0.013012728144013452,0.0,0.0004942968750000002,0.08699625000000004
WFIRST_X625,4.0,10.00,0.00,9.95,0.071875,0.04205186529751088,0.0675,0.02786249999999997,0.033894281873938545,0.023199999999999943,0.0020026171874999977,0.2772318749999997
WFIRST_X625,4.0,10.00,0.10,10.00,0.096,0.009539392014169458,0.098,0.57605,0.11727402738884683,0.60775,0.0553008,5.7604999999999995
