filt,dist,age,feh,age_bin,feh_meas_mean,feh_meas_std,feh_meas_median,massdiff_mean,massdiff_std,massdiff_median,feh_weighted,age_weighted
WFIRST_X606,4.0,9.5,-2.2,9.6,-0.675,1.031079531365064,0.0,0.004739999999999999,0.009117038993006445,0.0,-0.0031994999999999997,0.045503999999999996
WFIRST_X606,4.0,9.5,-1.8,9.4,-0.6990999999999999,0.8617745006670828,0.0,0.001519999999999988,0.0032279405198980863,0.0,-0.0010626319999999915,0.014287999999999888
WFIRST_X606,4.0,9.5,-1.8,9.45,-0.7,0.8584870412533903,0.0,0.0032399999999999985,0.007276152829620875,0.0,-0.0022679999999999987,0.030617999999999982
WFIRST_X606,4.0,9.5,-1.8,9.5,-1.7990000000000002,0.0016733200530681528,-1.7990000000000002,0.97708,0.01509263396495126,0.9762500000000001,-1.7577669200000001,9.282259999999999
WFIRST_X606,4.0,9.5,-1.8,9.55,-1.4773999999999998,0.7428883092363213,-1.85,0.01545,0.015660284160895675,0.011400000000000002,-0.02282583,0.14754750000000003
WFIRST_X606,4.0,9.5,-1.8,9.6,-0.3614,0.7232493622534347,0.0,0.0018,0.003609986149557918,0.0,-0.00065052,0.01728
WFIRST_X606,4.0,9.5,-1.3,9.4,-0.7350000000000001,0.7556619614616049,-0.575,0.0001499999999999946,0.0002941088233970546,0.0,-0.00011024999999999604,0.0014099999999999493
WFIRST_X606,4.0,9.5,-1.3,9.45,-0.75,0.6188699378706319,-1.15,0.0026800000000000157,0.004029590549919459,0.00014999999999998348,-0.0020100000000000118,0.025326000000000147
WFIRST_X606,4.0,9.5,-1.3,9.5,-1.2975,0.0019104973174543195,-1.2974999999999999,0.9768800000000001,0.013944303496410291,0.9732000000000001,-1.2675018000000002,9.28036
WFIRST_X606,4.0,9.5,-1.3,9.55,-1.1756,0.39422283038910877,-1.303,0.017079999999999998,0.013097007291744171,0.022600000000000002,-0.020079247999999997,0.16311399999999998
WFIRST_X606,4.0,9.5,-1.3,9.6,-0.4346,0.6829307724799052,0.0,8e-05,0.00024,0.0,-3.4768e-05,0.000768
WFIRST_X606,4.0,9.5,-0.8,9.4,-0.2993,0.3665711527111756,0.0,0.003829999999999999,0.007796672367106363,0.0,-0.0011463189999999998,0.03600199999999999
WFIRST_X606,4.0,9.5,-0.8,9.45,-0.43,0.35298725189445584,-0.65,0.005829999999999991,0.008528780686592885,0.0015000000000000015,-0.002506899999999996,0.055093499999999906
WFIRST_X606,4.0,9.5,-0.8,9.5,-0.7973000000000001,0.0025709920264364882,-0.797,0.9027499999999999,0.039508208007957034,0.91615,-0.7197625750000001,8.576125
WFIRST_X606,4.0,9.5,-0.8,9.55,-0.8345,0.033416313381341156,-0.845,0.06742000000000001,0.031179923027486775,0.058850000000000006,-0.056261990000000005,0.6438610000000001
WFIRST_X606,4.0,9.5,-0.8,9.6,-0.445,0.46392348507054476,-0.375,0.0024900000000000005,0.004225269222191647,0.0,-0.0011080500000000002,0.023904000000000005
WFIRST_X606,4.0,9.5,-0.5,9.4,-0.0444,0.1332,0.0,0.0035900000000000038,0.01077000000000001,0.0,-0.00015939600000000018,0.03374600000000004
WFIRST_X606,4.0,9.5,-0.5,9.45,-0.35500000000000004,0.2196019125599775,-0.45,0.03688000000000001,0.036684132809704,0.02415,-0.013092400000000006,0.34851600000000005
WFIRST_X606,4.0,9.5,-0.5,9.5,-0.5008999999999999,0.00234307490277198,-0.501,0.89177,0.04877796736232457,0.8993,-0.4466875929999999,8.471815
WFIRST_X606,4.0,9.5,-0.5,9.55,-0.3751,0.19013177009642548,-0.45,0.03875,0.037324074000569654,0.0382,-0.014535125,0.3700625
WFIRST_X606,4.0,9.5,-0.5,9.6,-0.1668,0.25483359276202183,0.0,0.00549,0.009867568089453448,0.0,-0.000915732,0.052704
WFIRST_X606,4.0,9.5,-0.2,9.4,-0.16,0.17291616465790582,-0.1,0.002200000000000002,0.0035639865319610753,0.0007000000000000339,-0.0003520000000000003,0.020680000000000018
WFIRST_X606,4.0,9.5,-0.2,9.45,-0.1069,0.11148313773840418,-0.075,0.008199999999999997,0.01197397177213977,0.0,-0.0008765799999999996,0.07748999999999996
WFIRST_X606,4.0,9.5,-0.2,9.5,-0.2012,0.001989974874213241,-0.2015,0.8396100000000001,0.050352685131976826,0.8428500000000001,-0.16892953200000002,7.976295
WFIRST_X606,4.0,9.5,-0.2,9.55,-0.23630000000000004,0.030361324081798542,-0.25,0.06307,0.03832631080602463,0.06135,-0.014903441000000003,0.6023185000000001
WFIRST_X606,4.0,9.5,-0.2,9.6,-0.221,0.22174083972060718,-0.25,0.012989999999999998,0.019334086479583155,0.0007499999999999989,-0.00287079,0.12470399999999998
WFIRST_X606,4.0,9.5,0.0,9.4,0.060899999999999996,0.0750312601520193,0.044000000000000004,0.00877000000000001,0.010654581174311839,0.006200000000000039,0.0005340930000000006,0.0824380000000001
WFIRST_X606,4.0,9.5,0.0,9.45,0.004700000000000001,0.056558023303506635,0.0,0.006009999999999993,0.008051018569100437,0.0008499999999999619,2.8246999999999972e-05,0.05679449999999993
WFIRST_X606,4.0,9.5,0.0,9.5,0.0017000000000000001,0.0022825424421026655,0.0015,0.9131499999999999,0.04528949657481298,0.91355,0.001552355,8.674924999999998
WFIRST_X606,4.0,9.5,0.0,9.55,0.03,0.024494897427831782,0.05,0.01619,0.01887174872660189,0.009850000000000003,0.0004857,0.15461450000000002
WFIRST_X606,4.0,9.5,0.0,9.6,-0.08549999999999999,0.13012859024826176,-0.048,0.01635,0.0190504199428779,0.0027999999999999995,-0.001397925,0.15696
WFIRST_X606,4.0,9.5,0.1,9.4,0.034899999999999994,0.206160350213129,0.1495,0.009160000000000001,0.012721257799447348,4.99999999999945e-05,0.000319684,0.08610400000000001
WFIRST_X606,4.0,9.5,0.1,9.45,0.0221,0.10322833913223635,0.0195,0.007499999999999995,0.011666533332571423,0.0008000000000000229,0.0001657499999999999,0.07087499999999995
WFIRST_X606,4.0,9.5,0.1,9.5,0.0999,0.0018138357147217047,0.1,0.9157400000000001,0.035727166134469725,0.9206,0.09148242600000002,8.699530000000001
WFIRST_X606,4.0,9.5,0.1,9.55,0.1038,0.03604663645889863,0.1115,0.050749999999999997,0.03318871042990372,0.044300000000000006,0.00526785,0.4846625
WFIRST_X606,4.0,9.5,0.1,9.6,0.0809,0.07108649660800566,0.1045,0.0036500000000000005,0.008336935887962678,0.0,0.00029528500000000006,0.03504
WFIRST_X606,4.0,9.7,-2.2,9.6,-0.6458999999999999,0.9876443135056264,0.0,0.0007100000000000106,0.0016373454125504646,0.0,-0.0004585890000000068,0.006816000000000102
WFIRST_X606,4.0,9.7,-2.2,9.65,-1.105,1.1055428530816884,-1.075,0.004709999999999992,0.006855136760123743,0.0,-0.005204549999999991,0.04545149999999992
WFIRST_X606,4.0,9.7,-2.2,9.7,-2.1998,0.001989974874213293,-2.1995,0.9831300000000001,0.012694097053355146,0.98505,-2.162689374,9.536361
WFIRST_X606,4.0,9.7,-2.2,9.75,-1.3275000000000001,1.0846917764968995,-2.1375,0.00614,0.0067950275937629576,0.00335,-0.00815085,0.059864999999999995
WFIRST_X606,4.0,9.7,-1.8,9.6,-1.3085,0.8677079289714944,-1.7385,0.004179999999999984,0.004471420355994254,0.003249999999999975,-0.005469529999999979,0.040127999999999844
WFIRST_X606,4.0,9.7,-1.8,9.65,-1.0699999999999998,0.874414089547967,-1.75,0.006020000000000003,0.009654304739337772,0.002850000000000019,-0.006441400000000002,0.05809300000000003
WFIRST_X606,4.0,9.7,-1.8,9.7,-1.7993999999999999,0.0014966629547095334,-1.7995,0.9562899999999999,0.017218969190982363,0.9585,-1.7207482259999995,9.276012999999997
WFIRST_X606,4.0,9.7,-1.8,9.75,-1.5829,0.5298866765639612,-1.7574999999999998,0.028980000000000006,0.015708901934890294,0.02705,-0.045872442000000006,0.28255500000000006
WFIRST_X606,4.0,9.7,-1.3,9.6,-0.82,0.6760917097554148,-1.25,0.0005100000000000104,0.001178516016013356,0.0,-0.00041820000000000854,0.0048960000000001
WFIRST_X606,4.0,9.7,-1.3,9.65,-1.0276,0.5182868317833282,-1.25,0.017259999999999998,0.01650522341563422,0.015050000000000004,-0.017736375999999998,0.16655899999999998
WFIRST_X606,4.0,9.7,-1.3,9.7,-1.2987,0.001268857754044933,-1.298,0.9616299999999999,0.029093781122432334,0.95635,-1.2488688809999997,9.327810999999999
WFIRST_X606,4.0,9.7,-1.3,9.75,-1.01,0.5058655947976696,-1.25,0.01616,0.014770863211065221,0.0137,-0.016321600000000002,0.15756
WFIRST_X606,4.0,9.7,-0.8,9.6,-0.23500000000000001,0.37353045391239525,0.0,0.002990000000000004,0.00665739438519306,0.0,-0.000702650000000001,0.028704000000000035
WFIRST_X606,4.0,9.7,-0.8,9.65,-0.48600000000000004,0.5610383231117104,-0.325,0.006240000000000001,0.013036425890557585,0.0,-0.0030326400000000005,0.06021600000000001
WFIRST_X606,4.0,9.7,-0.8,9.7,-0.8004,0.0011999999999999715,-0.8,0.9237300000000002,0.03819754049673881,0.93535,-0.7393534920000001,8.960181
WFIRST_X606,4.0,9.7,-0.8,9.75,-0.8205,0.0514902903468217,-0.8275,0.05376000000000001,0.03183633772907933,0.04505000000000001,-0.04411008000000001,0.5241600000000001
WFIRST_X606,4.0,9.7,-0.5,9.6,-0.28,0.23043437243605824,-0.45,0.011929999999999996,0.01469796244382193,0.00545000000000001,-0.0033403999999999994,0.11452799999999996
WFIRST_X606,4.0,9.7,-0.5,9.65,-0.2293,0.2337400479164835,-0.175,0.02521,0.04396774840721321,0.001549999999999996,-0.005780653,0.2432765
WFIRST_X606,4.0,9.7,-0.5,9.7,-0.49720000000000003,0.0055461698495448235,-0.498,0.88207,0.06813596774098098,0.9054,-0.43856520400000004,8.556079
WFIRST_X606,4.0,9.7,-0.5,9.75,-0.3959,0.20183282686421453,-0.456,0.04903,0.04579192177666275,0.0376,-0.019410976999999996,0.4780425
WFIRST_X606,4.0,9.7,-0.2,9.6,-0.015,0.045,0.0,0.0,0.0,0.0,-0.0,0.0
WFIRST_X606,4.0,9.7,-0.2,9.65,-0.09380000000000001,0.09931646389194491,-0.075,0.0008599999999999941,0.0024179330015531857,0.0,-8.066799999999945e-05,0.008298999999999944
WFIRST_X606,4.0,9.7,-0.2,9.7,-0.20190000000000002,0.0025079872407968843,-0.20199999999999999,0.86722,0.06736259793089931,0.8888,-0.175091718,8.412033999999998
WFIRST_X606,4.0,9.7,-0.2,9.75,-0.17579999999999998,0.0726825976420766,-0.16499999999999998,0.043469999999999995,0.040405025677507,0.02919999999999999,-0.007642025999999999,0.42383249999999995
WFIRST_X606,4.0,9.7,0.0,9.6,0.0839,0.05898550669444148,0.07050000000000001,0.016470000000000005,0.018090608060537933,0.009599999999999997,0.0013818330000000005,0.15811200000000006
